fixture_id,date,status,home_team,away_team,home_goals,away_goals
1034678,2023-06-27T13:00:00+00:00,FT,Atlètic Club d'Escaldes,Buducnost Podgorica,0,3
1034679,2023-06-27T19:00:00+00:00,FT,Tre Penne,Breidablik,1,7
1042850,2023-06-30T19:00:00+00:00,FT,Buducnost Podgorica,Breidablik,0,5
1036636,2023-07-11T15:00:00+00:00,FT,FC Urartu,Zrinjski,0,1
1036626,2023-07-11T15:30:00+00:00,FT,Lincoln Red Imps FC,Qarabag,1,2
1036618,2023-07-11T16:00:00+00:00,FT,FK Zalgiris Vilnius,Struga,0,0
1036622,2023-07-11T18:00:00+00:00,FT,Olimpija Ljubljana,Valmiera / BSS,2,1
1036628,2023-07-11T18:00:00+00:00,FT,Raków Częstochowa,Flora Tallinn,1,0
1036634,2023-07-11T18:00:00+00:00,FT,Hamrun Spartans,Maccabi Haifa,0,4
1047017,2023-07-11T18:45:00+00:00,FT,Shamrock Rovers,Breidablik,0,1
1036620,2023-07-11T18:45:00+00:00,FT,KI Klaksvik,Ferencvarosi TC,0,0
1036638,2023-07-11T18:45:00+00:00,FT,Partizani,Bate Borisov,1,1
1036616,2023-07-11T18:45:00+00:00,FT,Ballkani,Ludogorets,2,0
1036640,2023-07-12T14:00:00+00:00,FT,FC Astana,Dinamo Tbilisi,1,1
1036624,2023-07-12T16:00:00+00:00,FT,HJK Helsinki,Larne,1,0
1036614,2023-07-12T17:00:00+00:00,FT,BK Hacken,The New Saints,3,1
1036632,2023-07-12T17:30:00+00:00,FT,Farul Constanta,Sheriff Tiraspol,1,0
1036630,2023-07-12T18:30:00+00:00,FT,Slovan Bratislava,Swift Hesperange,1,1
1036619,2023-07-18T15:00:00+00:00,FT,Struga,FK Zalgiris Vilnius,1,2
1036633,2023-07-18T17:00:00+00:00,AET,Sheriff Tiraspol,Farul Constanta,3,0
1036629,2023-07-18T17:00:00+00:00,FT,Flora Tallinn,Raków Częstochowa,0,3
1036635,2023-07-18T17:00:00+00:00,FT,Maccabi Haifa,Hamrun Spartans,2,1
1036615,2023-07-18T18:00:00+00:00,FT,The New Saints,BK Hacken,0,2
1036639,2023-07-18T18:00:00+00:00,FT,Bate Borisov,Partizani,2,0
1036637,2023-07-18T18:00:00+00:00,PEN,Zrinjski,FC Urartu,2,3
1047018,2023-07-18T19:15:00+00:00,FT,Breidablik,Shamrock Rovers,2,1
1036623,2023-07-19T15:00:00+00:00,FT,Valmiera / BSS,Olimpija Ljubljana,1,2
1036627,2023-07-19T16:00:00+00:00,FT,Qarabag,Lincoln Red Imps FC,4,0
1036621,2023-07-19T16:00:00+00:00,FT,Ferencvarosi TC,KI Klaksvik,0,3
1036641,2023-07-19T16:00:00+00:00,FT,Dinamo Tbilisi,FC Astana,1,2
1036617,2023-07-19T18:00:00+00:00,FT,Ludogorets,Ballkani,4,0
1036631,2023-07-19T18:00:00+00:00,FT,Swift Hesperange,Slovan Bratislava,0,2
1036625,2023-07-19T18:30:00+00:00,AET,Larne,HJK Helsinki,2,2
1074580,2023-07-25T16:00:00+00:00,FT,FK Zalgiris Vilnius,Galatasaray,2,2
1074592,2023-07-25T16:00:00+00:00,FT,HJK Helsinki,Molde,1,0
1074582,2023-07-25T18:00:00+00:00,FT,Dinamo Zagreb,FC Astana,4,0
1037423,2023-07-25T18:00:00+00:00,FT,Dnipro-1,Panathinaikos,1,3
1037425,2023-07-25T18:30:00+00:00,FT,Servette FC,Genk,1,1
1074584,2023-07-25T19:00:00+00:00,FT,Zrinjski,Slovan Bratislava,0,1
1074586,2023-07-25T19:15:00+00:00,FT,Breidablik,FC Copenhagen,0,2
1074596,2023-07-26T17:00:00+00:00,FT,Sheriff Tiraspol,Maccabi Haifa,1,0
1074594,2023-07-26T17:00:00+00:00,FT,Aris,Bate Borisov,6,2
1074598,2023-07-26T18:15:00+00:00,FT,Raków Częstochowa,Qarabag,3,2
1074588,2023-07-26T18:45:00+00:00,FT,Ludogorets,Olimpija Ljubljana,1,1
1074590,2023-07-26T18:45:00+00:00,FT,KI Klaksvik,BK Hacken,0,0
1037424,2023-08-01T17:30:00+00:00,FT,Panathinaikos,Dnipro-1,2,2
1074595,2023-08-01T18:00:00+00:00,FT,Bate Borisov,Aris,3,5
1074589,2023-08-01T18:00:00+00:00,FT,Olimpija Ljubljana,Ludogorets,2,1
