fixture_id,date,status,home_team,away_team,home_goals,away_goals
981600,2023-02-08T00:00:00+00:00,FT,Sport Huancayo,Nacional Asuncion,2,1
981602,2023-02-09T00:00:00+00:00,FT,Nacional Potosí,El Nacional,1,6
981604,2023-02-10T00:00:00+00:00,FT,Boston River,Zamora FC,3,1
981601,2023-02-15T00:00:00+00:00,FT,Nacional Asuncion,Sport Huancayo,3,1
981603,2023-02-16T00:00:00+00:00,FT,El Nacional,Nacional Potosí,3,1
981605,2023-02-17T00:00:00+00:00,FT,Zamora FC,Boston River,0,1
1005140,2023-02-20T22:00:00+00:00,FT,Nacional Asuncion,Sporting Cristal,2,0
1005511,2023-02-21T22:00:00+00:00,FT,El Nacional,Independiente Medellin,2,2
981590,2023-02-22T00:00:00+00:00,FT,Curico Unido,Cerro Porteno,0,1
981594,2023-02-22T22:00:00+00:00,FT,Magallanes,Always Ready,3,0
1005513,2023-02-23T00:00:00+00:00,FT,Boston River,Huracan,0,0
981592,2023-02-23T00:30:00+00:00,FT,Carabobo FC,Atletico-MG,0,0
981598,2023-02-24T00:00:00+00:00,FT,Universidad Catolica,Millonarios,0,0
981596,2023-02-24T00:00:00+00:00,FT,Deportivo Maldonado,Fortaleza EC,0,0
981591,2023-02-27T22:00:00+00:00,FT,Cerro Porteno,Curico Unido,1,0
1005514,2023-02-28T22:00:00+00:00,FT,Huracan,Boston River,1,0
1005141,2023-03-01T00:00:00+00:00,FT,Sporting Cristal,Nacional Asuncion,5,1
981595,2023-03-01T22:00:00+00:00,FT,Always Ready,Magallanes,1,3
1005512,2023-03-02T00:00:00+00:00,FT,Independiente Medellin,El Nacional,2,1
981593,2023-03-02T00:30:00+00:00,FT,Atletico-MG,Carabobo FC,3,1
981597,2023-03-03T00:00:00+00:00,FT,Fortaleza EC,Deportivo Maldonado,4,0
981599,2023-03-03T00:00:00+00:00,FT,Millonarios,Universidad Catolica,2,1
1011462,2023-03-08T22:00:00+00:00,FT,Magallanes,Independiente Medellin,1,1
1011466,2023-03-09T00:30:00+00:00,FT,Millonarios,Atletico-MG,1,1
1011464,2023-03-09T22:00:00+00:00,FT,Fortaleza EC,Cerro Porteno,0,1
1011460,2023-03-10T00:00:00+00:00,FT,Huracan,Sporting Cristal,0,0
1011463,2023-03-16T00:00:00+00:00,FT,Independiente Medellin,Magallanes,2,0
1011467,2023-03-16T00:30:00+00:00,FT,Atletico-MG,Millonarios,3,1
1011465,2023-03-16T22:00:00+00:00,FT,Cerro Porteno,Fortaleza EC,2,1
1011461,2023-03-17T00:00:00+00:00,FT,Sporting Cristal,Huracan,1,0
1019262,2023-04-04T22:00:00+00:00,FT,Argentinos JRS,Independiente del Valle,1,0
1019264,2023-04-04T22:00:00+00:00,FT,Alianza Lima,Atletico Paranaense,0,0
1019263,2023-04-04T22:00:00+00:00,FT,The Strongest,River Plate,3,1
1019265,2023-04-05T00:00:00+00:00,FT,Independiente Medellin,Internacional,1,1
1019266,2023-04-05T02:00:00+00:00,FT,Metropolitanos FC,Club Nacional,1,2
1019267,2023-04-05T22:00:00+00:00,FT,Patronato,Atletico Nacional,1,2
1019268,2023-04-05T22:00:00+00:00,FT,Aucas,Flamengo,2,1
1019270,2023-04-06T00:00:00+00:00,FT,Cerro Porteno,Barcelona SC,2,1
1019269,2023-04-06T00:00:00+00:00,FT,Nublense,Racing Club,0,2
1019272,2023-04-06T00:30:00+00:00,FT,Sporting Cristal,Fluminense,1,3
1019271,2023-04-06T00:30:00+00:00,FT,Bolívar,Palmeiras,3,1
1019273,2023-04-06T02:00:00+00:00,FT,Deportivo Pereira,Colo Colo,1,1
1019275,2023-04-06T22:00:00+00:00,FT,Atletico-MG,Libertad Asuncion,0,1
1019274,2023-04-06T22:00:00+00:00,FT,Liverpool Montevideo,Corinthians,0,3
1019277,2023-04-07T00:00:00+00:00,FT,FBC Melgar,Olimpia,1,1
1019276,2023-04-07T00:00:00+00:00,FT,Monagas SC,Boca Juniors,0,0
1019278,2023-04-18T22:00:00+00:00,FT,Internacional,Metropolitanos FC,1,0
1019279,2023-04-18T22:00:00+00:00,FT,Fluminense,The Strongest,1,0
1019282,2023-04-19T00:00:00+00:00,FT,Atletico Paranaense,Atletico-MG,2,1
1019281,2023-04-19T00:00:00+00:00,FT,Boca Juniors,Deportivo Pereira,2,1
1019280,2023-04-19T00:00:00+00:00,FT,Olimpia,Patronato,1,0
1019283,2023-04-19T02:00:00+00:00,FT,Independiente del Valle,Liverpool Montevideo,2,0
1019284,2023-04-19T22:00:00+00:00,FT,Club Nacional,Independiente Medellin,2,1
1019286,2023-04-20T00:00:00+00:00,FT,River Plate,Sporting Cristal,4,2
1019287,2023-04-20T00:30:00+00:00,FT,Flamengo,Nublense,2,0
1019288,2023-04-20T00:30:00+00:00,FT,Corinthians,Argentinos JRS,0,1
1019285,2023-04-20T01:00:00+00:00,FT,Colo Colo,Monagas SC,1,0
1019289,2023-04-20T02:00:00+00:00,FT,Barcelona SC,Bolívar,2,1
1019290,2023-04-20T22:00:00+00:00,FT,Racing Club,Aucas,3,2
1019292,2023-04-21T00:00:00+00:00,FT,Palmeiras,Cerro Porteno,2,1
1019291,2023-04-21T00:00:00+00:00,FT,Atletico Nacional,FBC Melgar,3,1
1019293,2023-04-21T02:00:00+00:00,FT,Libertad Asuncion,Alianza Lima,1,2
1019295,2023-05-02T22:00:00+00:00,FT,Nublense,Aucas,2,1
1019294,2023-05-02T22:00:00+00:00,FT,Liverpool Montevideo,Argentinos JRS,2,2
1019296,2023-05-03T00:00:00+00:00,FT,Fluminense,River Plate,5,1
1019298,2023-05-03T00:00:00+00:00,FT,Corinthians,Independiente del Valle,1,2
1019297,2023-05-03T00:00:00+00:00,FT,Atletico Nacional,Olimpia,2,2
1019299,2023-05-03T02:00:00+00:00,FT,Sporting Cristal,The Strongest,1,0
1019300,2023-05-03T22:00:00+00:00,FT,Internacional,Club Nacional,2,2
1019301,2023-05-03T22:00:00+00:00,FT,Cerro Porteno,Bolívar,0,4
1019302,2023-05-04T00:00:00+00:00,FT,Colo Colo,Boca Juniors,0,2
1019303,2023-05-04T00:30:00+00:00,FT,Atletico-MG,Alianza Lima,2,0
1019304,2023-05-04T00:30:00+00:00,FT,Barcelona SC,Palmeiras,0,2
1019305,2023-05-04T02:00:00+00:00,FT,Independiente Medellin,Metropolitanos FC,4,2
1019307,2023-05-04T22:00:00+00:00,FT,Racing Club,Flamengo,1,1
1019306,2023-05-04T22:00:00+00:00,FT,Patronato,FBC Melgar,4,1
1019308,2023-05-05T00:00:00+00:00,FT,Libertad Asuncion,Atletico Paranaense,1,2
1019309,2023-05-05T02:00:00+00:00,FT,Deportivo Pereira,Monagas SC,2,1
1019311,2023-05-23T22:00:00+00:00,FT,Atletico-MG,Atletico Paranaense,2,1
1019310,2023-05-23T22:00:00+00:00,FT,Monagas SC,Colo Colo,1,1
1019314,2023-05-24T00:00:00+00:00,FT,Independiente Medellin,Club Nacional,2,1
1019313,2023-05-24T00:00:00+00:00,FT,Aucas,Racing Club,1,2
1019312,2023-05-24T00:00:00+00:00,FT,Bolívar,Barcelona SC,1,0
1019315,2023-05-24T02:00:00+00:00,FT,Alianza Lima,Libertad Asuncion,1,2
1019325,2023-05-24T22:00:00+00:00,FT,Cerro Porteno,Palmeiras,0,3
1019316,2023-05-24T22:00:00+00:00,FT,Liverpool Montevideo,Independiente del Valle,1,0
1019318,2023-05-25T00:00:00+00:00,FT,Deportivo Pereira,Boca Juniors,1,0
1019319,2023-05-25T00:30:00+00:00,FT,Argentinos JRS,Corinthians,0,0
1019320,2023-05-25T00:30:00+00:00,FT,Nublense,Flamengo,1,1
1019321,2023-05-25T02:00:00+00:00,FT,FBC Melgar,Atletico Nacional,0,1
1019317,2023-05-25T22:00:00+00:00,FT,Patronato,Olimpia,0,2
1019322,2023-05-25T22:00:00+00:00,FT,The Strongest,Fluminense,1,0
1019324,2023-05-26T00:00:00+00:00,FT,Sporting Cristal,River Plate,1,1
1019323,2023-05-26T00:00:00+00:00,FT,Metropolitanos FC,Internacional,1,2
1019326,2023-06-06T22:00:00+00:00,FT,Atletico Paranaense,Libertad Asuncion,1,0
1019327,2023-06-06T22:00:00+00:00,FT,Monagas SC,Deportivo Pereira,1,0
1019328,2023-06-07T00:00:00+00:00,FT,Boca Juniors,Colo Colo,1,0
1019330,2023-06-07T00:00:00+00:00,FT,Alianza Lima,Atletico-MG,0,1
1019329,2023-06-07T00:00:00+00:00,FT,FBC Melgar,Patronato,5,0
1019331,2023-06-07T02:00:00+00:00,FT,Bolívar,Cerro Porteno,2,0
1019332,2023-06-07T22:00:00+00:00,FT,Argentinos JRS,Liverpool Montevideo,2,1
1019338,2023-06-07T22:00:00+00:00,FT,Independiente del Valle,Corinthians,3,0
1019333,2023-06-07T22:00:00+00:00,FT,Club Nacional,Internacional,1,1
1019336,2023-06-08T00:00:00+00:00,FT,Aucas,Nublense,0,0
1019335,2023-06-08T00:30:00+00:00,FT,Palmeiras,Barcelona SC,4,2
1019334,2023-06-08T00:30:00+00:00,FT,River Plate,Fluminense,2,0
1019337,2023-06-08T02:00:00+00:00,FT,The Strongest,Sporting Cristal,1,2
1019339,2023-06-08T22:00:00+00:00,FT,Metropolitanos FC,Independiente Medellin,0,1
1019340,2023-06-09T00:00:00+00:00,FT,Flamengo,Racing Club,2,1
1019341,2023-06-09T00:00:00+00:00,FT,Olimpia,Atletico Nacional,3,0
1019342,2023-06-27T22:00:00+00:00,FT,Atletico Paranaense,Alianza Lima,3,0
1019343,2023-06-27T22:00:00+00:00,FT,Libertad Asuncion,Atletico-MG,1,1
1019345,2023-06-28T00:00:00+00:00,FT,Fluminense,Sporting Cristal,1,1
1019344,2023-06-28T00:00:00+00:00,FT,River Plate,The Strongest,2,0
1019347,2023-06-28T00:00:00+00:00,FT,Atletico Nacional,Patronato,0,1
1019346,2023-06-28T00:00:00+00:00,FT,Olimpia,FBC Melgar,4,1
1019349,2023-06-28T22:00:00+00:00,FT,Internacional,Independiente Medellin,3,1
1019348,2023-06-28T22:00:00+00:00,FT,Club Nacional,Metropolitanos FC,1,0
1019351,2023-06-29T00:30:00+00:00,FT,Flamengo,Aucas,4,0
1019352,2023-06-29T00:30:00+00:00,FT,Corinthians,Liverpool Montevideo,3,0
1019350,2023-06-29T00:30:00+00:00,FT,Racing Club,Nublense,4,0
1019353,2023-06-29T00:30:00+00:00,FT,Independiente del Valle,Argentinos JRS,3,2
1019354,2023-06-29T22:00:00+00:00,FT,Boca Juniors,Monagas SC,4,0
1019355,2023-06-29T22:00:00+00:00,FT,Colo Colo,Deportivo Pereira,0,0
1019356,2023-06-30T00:00:00+00:00,FT,Palmeiras,Bolívar,4,0
1019357,2023-06-30T00:00:00+00:00,FT,Barcelona SC,Cerro Porteno,2,2
1052189,2023-08-01T22:00:00+00:00,FT,Argentinos JRS,Fluminense,1,1
1052187,2023-08-02T00:00:00+00:00,FT,River Plate,Internacional,2,1
1052185,2023-08-02T00:00:00+00:00,FT,Bolívar,Atletico Paranaense,3,1
1052181,2023-08-03T00:00:00+00:00,FT,Deportivo Pereira,Independiente del Valle,1,0
1052179,2023-08-03T00:00:00+00:00,FT,Club Nacional,Boca Juniors,0,0
1052183,2023-08-03T00:30:00+00:00,FT,Atletico-MG,Palmeiras,0,1
1052191,2023-08-04T00:00:00+00:00,FT,Flamengo,Olimpia,1,0
1052177,2023-08-04T00:00:00+00:00,FT,Atletico Nacional,Racing Club,4,2
1052190,2023-08-08T22:00:00+00:00,FT,Fluminense,Argentinos JRS,2,0
1052188,2023-08-09T00:00:00+00:00,PEN,Internacional,River Plate,2,1
1052186,2023-08-09T00:00:00+00:00,PEN,Atletico Paranaense,Bolívar,2,0
1052180,2023-08-10T00:00:00+00:00,PEN,Boca Juniors,Club Nacional,2,2
1052182,2023-08-10T00:00:00+00:00,FT,Independiente del Valle,Deportivo Pereira,1,1
1052184,2023-08-10T00:30:00+00:00,FT,Palmeiras,Atletico-MG,0,0
1052178,2023-08-11T00:00:00+00:00,FT,Racing Club,Atletico Nacional,3,0
1052192,2023-08-11T00:00:00+00:00,FT,Olimpia,Flamengo,3,1
1115294,2023-08-22T22:00:00+00:00,FT,Bolívar,Internacional,0,1
1115604,2023-08-24T00:30:00+00:00,FT,Boca Juniors,Racing Club,0,0
1115296,2023-08-24T00:30:00+00:00,FT,Deportivo Pereira,Palmeiras,0,4
1115602,2023-08-25T00:30:00+00:00,FT,Fluminense,Olimpia,2,0
1115295,2023-08-29T22:00:00+00:00,FT,Internacional,Bolívar,2,0
1115297,2023-08-31T00:30:00+00:00,FT,Palmeiras,Deportivo Pereira,0,0
1115605,2023-08-31T00:30:00+00:00,PEN,Racing Club,Boca Juniors,0,0
1115603,2023-09-01T00:30:00+00:00,FT,Olimpia,Fluminense,1,3
1125289,2023-09-28T00:30:00+00:00,FT,Fluminense,Internacional,2,2
1125015,2023-09-29T00:30:00+00:00,FT,Boca Juniors,Palmeiras,0,0
1125290,2023-10-05T00:30:00+00:00,FT,Internacional,Fluminense,1,2
1125016,2023-10-06T00:30:00+00:00,PEN,Palmeiras,Boca Juniors,1,1
1137544,2023-11-04T20:00:00+00:00,AET,Boca Juniors,Fluminense,1,2
