fixture_id,date,status,home_team,away_team,home_goals,away_goals
1044885,2023-08-11T19:00:00+00:00,FT,Nice,Lille,1,1
1044884,2023-08-12T15:00:00+00:00,FT,Marseille,Reims,2,1
1044881,2023-08-12T19:00:00+00:00,FT,Paris Saint Germain,Lorient,0,0
1044889,2023-08-13T11:00:00+00:00,FT,Stade Brestois 29,Lens,3,2
1044888,2023-08-13T13:00:00+00:00,FT,Montpellier,Le Havre,2,2
1044887,2023-08-13T13:00:00+00:00,FT,Nantes,Toulouse,1,2
1044886,2023-08-13T13:00:00+00:00,FT,Clermont Foot,Monaco,2,4
1044883,2023-08-13T15:05:00+00:00,FT,Rennes,Metz,5,1
1044882,2023-08-13T18:45:00+00:00,FT,Strasbourg,Lyon,2,1
1044898,2023-08-18T19:00:00+00:00,FT,Metz,Marseille,2,2
1044894,2023-08-19T17:00:00+00:00,FT,Lyon,Montpellier,1,4
1044890,2023-08-19T19:00:00+00:00,FT,Toulouse,Paris Saint Germain,1,1
1044893,2023-08-20T11:00:00+00:00,FT,Lille,Nantes,2,0
1044895,2023-08-20T13:00:00+00:00,FT,Reims,Clermont Foot,2,0
1044891,2023-08-20T13:00:00+00:00,FT,Lorient,Nice,1,1
1044897,2023-08-20T13:00:00+00:00,FT,Le Havre,Stade Brestois 29,1,2
1044892,2023-08-20T17:00:00+00:00,FT,Monaco,Strasbourg,3,0
1044896,2023-08-20T18:45:00+00:00,FT,Lens,Rennes,1,1
1044906,2023-08-25T19:00:00+00:00,FT,Nantes,Monaco,3,3
1044902,2023-08-26T17:00:00+00:00,FT,Marseille,Stade Brestois 29,2,0
1044899,2023-08-26T19:00:00+00:00,FT,Paris Saint Germain,Lens,3,1
1044901,2023-08-27T11:00:00+00:00,FT,Rennes,Le Havre,2,2
1044907,2023-08-27T13:00:00+00:00,FT,Montpellier,Reims,1,3
1044900,2023-08-27T13:00:00+00:00,FT,Strasbourg,Toulouse,2,0
1044905,2023-08-27T13:00:00+00:00,FT,Clermont Foot,Metz,0,1
1044903,2023-08-27T15:05:00+00:00,FT,Lorient,Lille,4,1
1044904,2023-08-27T18:45:00+00:00,FT,Nice,Lyon,0,0
1044913,2023-09-01T19:00:00+00:00,FT,Nantes,Marseille,1,1
1044916,2023-09-02T15:00:00+00:00,FT,Stade Brestois 29,Rennes,0,0
1044909,2023-09-02T19:00:00+00:00,FT,Monaco,Lens,3,0
1044908,2023-09-03T11:00:00+00:00,FT,Toulouse,Clermont Foot,2,2
1044910,2023-09-03T13:00:00+00:00,FT,Lille,Montpellier,1,0
1044914,2023-09-03T13:00:00+00:00,FT,Le Havre,Lorient,3,0
1044915,2023-09-03T13:00:00+00:00,FT,Metz,Reims,2,2
1044912,2023-09-03T15:05:00+00:00,FT,Nice,Strasbourg,2,0
1044911,2023-09-03T18:45:00+00:00,FT,Lyon,Paris Saint Germain,1,4
1044917,2023-09-15T19:00:00+00:00,FT,Paris Saint Germain,Nice,2,3
1044919,2023-09-16T15:00:00+00:00,FT,Rennes,Lille,2,2
1044925,2023-09-16T19:00:00+00:00,FT,Lens,Metz,0,1
1044921,2023-09-17T11:00:00+00:00,FT,Lorient,Monaco,2,2
1044924,2023-09-17T13:00:00+00:00,FT,Reims,Stade Brestois 29,1,2
1044918,2023-09-17T13:00:00+00:00,FT,Strasbourg,Montpellier,2,2
1044923,2023-09-17T13:00:00+00:00,FT,Clermont Foot,Nantes,0,1
1044920,2023-09-17T15:05:00+00:00,FT,Marseille,Toulouse,0,0
1044922,2023-09-17T18:45:00+00:00,FT,Lyon,Le Havre,0,0
1044927,2023-09-22T19:00:00+00:00,FT,Monaco,Nice,0,1
1044930,2023-09-23T15:00:00+00:00,FT,Nantes,Lorient,5,3
1044934,2023-09-23T19:00:00+00:00,FT,Stade Brestois 29,Lyon,1,0
1044932,2023-09-24T11:00:00+00:00,FT,Metz,Strasbourg,0,1
1044931,2023-09-24T13:00:00+00:00,FT,Le Havre,Clermont Foot,2,1
1044929,2023-09-24T13:00:00+00:00,FT,Lens,Toulouse,2,1
1044933,2023-09-24T15:05:00+00:00,FT,Montpellier,Rennes,0,0
1044926,2023-09-24T18:45:00+00:00,FT,Paris Saint Germain,Marseille,4,0
1044928,2023-09-26T19:00:00+00:00,FT,Lille,Reims,1,2
1044935,2023-09-29T19:00:00+00:00,FT,Strasbourg,Lens,0,1
1044941,2023-09-30T15:00:00+00:00,FT,Clermont Foot,Paris Saint Germain,0,0
1044939,2023-09-30T19:00:00+00:00,FT,Monaco,Marseille,3,2
1044942,2023-10-01T11:00:00+00:00,FT,Reims,Lyon,2,0
1044940,2023-10-01T13:00:00+00:00,FT,Nice,Stade Brestois 29,0,0
1044937,2023-10-01T13:00:00+00:00,FT,Toulouse,Metz,3,0
1044943,2023-10-01T13:00:00+00:00,FT,Le Havre,Lille,0,2
1044938,2023-10-01T15:05:00+00:00,FT,Lorient,Montpellier,0,3
1044936,2023-10-01T18:45:00+00:00,FT,Rennes,Nantes,3,1
1044944,2023-10-06T19:00:00+00:00,FT,Strasbourg,Nantes,1,2
1044950,2023-10-07T15:00:00+00:00,FT,Metz,Nice,0,1
1044948,2023-10-07T19:00:00+00:00,FT,Reims,Monaco,1,3
1044946,2023-10-08T11:00:00+00:00,FT,Marseille,Le Havre,3,0
1044947,2023-10-08T13:00:00+00:00,FT,Lyon,Lorient,3,3
1044952,2023-10-08T13:00:00+00:00,FT,Stade Brestois 29,Toulouse,1,1
1044949,2023-10-08T15:05:00+00:00,FT,Lens,Lille,1,1
1044945,2023-10-08T18:45:00+00:00,FT,Rennes,Paris Saint Germain,1,3
1044961,2023-10-20T19:00:00+00:00,FT,Le Havre,Lens,0,0
1044953,2023-10-21T15:00:00+00:00,FT,Paris Saint Germain,Strasbourg,3,0
1044959,2023-10-21T19:00:00+00:00,FT,Nice,Marseille,1,0
1044955,2023-10-22T11:00:00+00:00,FT,Lorient,Rennes,2,1
1044957,2023-10-22T13:00:00+00:00,FT,Lille,Stade Brestois 29,1,0
1044960,2023-10-22T13:00:00+00:00,FT,Nantes,Montpellier,2,0
1044954,2023-10-22T13:00:00+00:00,FT,Toulouse,Reims,1,1
1044956,2023-10-22T15:05:00+00:00,FT,Monaco,Metz,2,1
1044958,2023-10-22T18:45:00+00:00,FT,Lyon,Clermont Foot,1,2
1044965,2023-10-27T19:00:00+00:00,FT,Clermont Foot,Nice,0,1
1044966,2023-10-28T15:00:00+00:00,FT,Reims,Lorient,1,0
1044967,2023-10-28T19:00:00+00:00,FT,Lens,Nantes,4,0
1044970,2023-10-29T12:00:00+00:00,FT,Stade Brestois 29,Paris Saint Germain,2,3
1044964,2023-10-29T14:00:00+00:00,FT,Lille,Monaco,2,0
1044969,2023-10-29T14:00:00+00:00,FT,Montpellier,Toulouse,3,0
1044968,2023-10-29T14:00:00+00:00,FT,Metz,Le Havre,0,0
1044962,2023-10-29T16:05:00+00:00,FT,Rennes,Strasbourg,1,1
1044971,2023-11-03T20:00:00+00:00,FT,Paris Saint Germain,Montpellier,3,0
1044975,2023-11-04T16:00:00+00:00,FT,Lorient,Lens,0,0
1044974,2023-11-04T20:00:00+00:00,FT,Marseille,Lille,0,0
1044977,2023-11-05T12:00:00+00:00,FT,Lyon,Metz,1,1
1044979,2023-11-05T14:00:00+00:00,FT,Nantes,Reims,0,1
1044972,2023-11-05T14:00:00+00:00,FT,Strasbourg,Clermont Foot,0,0
1044973,2023-11-05T14:00:00+00:00,FT,Toulouse,Le Havre,1,2
1044976,2023-11-05T16:05:00+00:00,FT,Monaco,Stade Brestois 29,2,0
1044978,2023-11-05T19:45:00+00:00,FT,Nice,Rennes,2,0
1044987,2023-11-10T20:00:00+00:00,FT,Montpellier,Nice,0,0
1044983,2023-11-11T16:00:00+00:00,FT,Reims,Paris Saint Germain,0,3
1044985,2023-11-11T20:00:00+00:00,FT,Le Havre,Monaco,0,0
1044981,2023-11-12T14:00:00+00:00,FT,Lille,Toulouse,1,1
1044982,2023-11-12T14:00:00+00:00,FT,Clermont Foot,Lorient,1,0
1044986,2023-11-12T14:00:00+00:00,FT,Metz,Nantes,3,1
1044980,2023-11-12T16:05:00+00:00,FT,Rennes,Lyon,0,1
1044984,2023-11-12T19:45:00+00:00,FT,Lens,Marseille,1,0
1044989,2023-11-24T20:00:00+00:00,FT,Paris Saint Germain,Monaco,5,2
1044995,2023-11-25T16:00:00+00:00,FT,Clermont Foot,Lens,0,3
1044990,2023-11-25T20:00:00+00:00,FT,Strasbourg,Marseille,1,1
1044994,2023-11-26T12:00:00+00:00,FT,Nice,Toulouse,1,0
1044997,2023-11-26T14:00:00+00:00,FT,Montpellier,Stade Brestois 29,1,3
1044996,2023-11-26T14:00:00+00:00,FT,Nantes,Le Havre,0,0
1044992,2023-11-26T14:00:00+00:00,FT,Lorient,Metz,2,3
1044991,2023-11-26T16:05:00+00:00,FT,Rennes,Reims,3,1
1044993,2023-11-26T19:45:00+00:00,FT,Lyon,Lille,0,2
1044951,2023-11-29T18:00:00+00:00,FT,Montpellier,Clermont Foot,1,1
1045002,2023-12-01T20:00:00+00:00,FT,Reims,Strasbourg,2,1
1045003,2023-12-02T16:00:00+00:00,FT,Lens,Lyon,3,2
1045004,2023-12-02T20:00:00+00:00,FT,Nantes,Nice,1,0
1045005,2023-12-03T12:00:00+00:00,FT,Le Havre,Paris Saint Germain,0,2
1045000,2023-12-03T14:00:00+00:00,FT,Monaco,Montpellier,2,0
1044998,2023-12-03T14:00:00+00:00,FT,Toulouse,Lorient,1,1
1045006,2023-12-03T14:00:00+00:00,FT,Stade Brestois 29,Clermont Foot,3,0
1045001,2023-12-03T16:05:00+00:00,FT,Lille,Metz,2,0
1044999,2023-12-03T19:45:00+00:00,FT,Marseille,Rennes,2,0
1044963,2023-12-06T20:00:00+00:00,FT,Marseille,Lyon,3,0
1044988,2023-12-07T19:30:00+00:00,FT,Stade Brestois 29,Strasbourg,1,1
1045015,2023-12-08T20:00:00+00:00,FT,Montpellier,Lens,0,0
1045009,2023-12-09T16:00:00+00:00,FT,Rennes,Monaco,1,2
1045007,2023-12-09T20:00:00+00:00,FT,Paris Saint Germain,Nantes,2,1
1045012,2023-12-10T12:00:00+00:00,FT,Nice,Reims,2,1
1045008,2023-12-10T14:00:00+00:00,FT,Strasbourg,Le Havre,2,1
1045013,2023-12-10T14:00:00+00:00,FT,Clermont Foot,Lille,0,0
1045014,2023-12-10T14:00:00+00:00,FT,Metz,Stade Brestois 29,0,1
1045011,2023-12-10T16:05:00+00:00,FT,Lyon,Toulouse,3,0
1045010,2023-12-10T19:45:00+00:00,FT,Lorient,Marseille,2,4
1045019,2023-12-15T20:00:00+00:00,FT,Monaco,Lyon,0,1
1045023,2023-12-16T16:00:00+00:00,FT,Le Havre,Nice,3,1
1045021,2023-12-16T20:00:00+00:00,FT,Lens,Reims,2,0
1045022,2023-12-17T12:00:00+00:00,FT,Nantes,Stade Brestois 29,0,2
1045016,2023-12-17T14:00:00+00:00,FT,Toulouse,Rennes,0,0
1045018,2023-12-17T14:00:00+00:00,FT,Lorient,Strasbourg,1,2
1045024,2023-12-17T14:00:00+00:00,FT,Metz,Montpellier,0,1
1045017,2023-12-17T16:05:00+00:00,FT,Marseille,Clermont Foot,2,1
1045020,2023-12-17T19:45:00+00:00,FT,Lille,Paris Saint Germain,1,1
1045028,2023-12-20T20:00:00+00:00,FT,Lyon,Nantes,1,0
1045032,2023-12-20T20:00:00+00:00,FT,Montpellier,Marseille,1,1
1045029,2023-12-20T20:00:00+00:00,FT,Nice,Lens,2,0
1045025,2023-12-20T20:00:00+00:00,FT,Paris Saint Germain,Metz,3,1
1045031,2023-12-20T20:00:00+00:00,FT,Reims,Le Havre,1,0
1045026,2023-12-20T20:00:00+00:00,FT,Strasbourg,Lille,2,1
1045027,2023-12-20T20:00:00+00:00,FT,Toulouse,Monaco,1,2
1045030,2023-12-20T20:00:00+00:00,FT,Clermont Foot,Rennes,1,3
1045033,2023-12-20T20:00:00+00:00,FT,Stade Brestois 29,Lorient,4,0
1045035,2024-01-12T20:00:00+00:00,FT,Marseille,Strasbourg,1,1
1045036,2024-01-13T16:00:00+00:00,FT,Monaco,Reims,1,3
1045034,2024-01-13T20:00:00+00:00,FT,Rennes,Nice,2,0
1045037,2024-01-14T12:00:00+00:00,FT,Lille,Lorient,3,0
1045038,2024-01-14T14:00:00+00:00,FT,Nantes,Clermont Foot,1,2
