fixture_id,date,status,home_team,away_team,home_goals,away_goals
1035037,2023-08-11T19:00:00+00:00,FT,Burnley,Manchester City,0,3
1035038,2023-08-12T11:30:00+00:00,FT,Arsenal,Nottingham Forest,2,1
1035039,2023-08-12T14:00:00+00:00,FT,Bournemouth,West Ham,1,1
1035041,2023-08-12T14:00:00+00:00,FT,Everton,Fulham,0,1
1035040,2023-08-12T14:00:00+00:00,FT,Brighton,Luton,4,1
1035042,2023-08-12T14:00:00+00:00,FT,Sheffield Utd,Crystal Palace,0,1
1035043,2023-08-12T16:30:00+00:00,FT,Newcastle,Aston Villa,5,1
1035044,2023-08-13T13:00:00+00:00,FT,Brentford,Tottenham,2,2
1035045,2023-08-13T15:30:00+00:00,FT,Chelsea,Liverpool,1,1
1035046,2023-08-14T19:00:00+00:00,FT,Manchester United,Wolves,1,0
1035053,2023-08-18T18:45:00+00:00,FT,Nottingham Forest,Sheffield Utd,2,1
1035049,2023-08-19T14:00:00+00:00,FT,Fulham,Brentford,0,3
1035056,2023-08-19T14:00:00+00:00,FT,Wolves,Brighton,1,4
1035050,2023-08-19T14:00:00+00:00,FT,Liverpool,Bournemouth,3,1
1035054,2023-08-19T16:30:00+00:00,FT,Tottenham,Manchester United,2,0
1035052,2023-08-19T19:00:00+00:00,FT,Manchester City,Newcastle,1,0
1035047,2023-08-20T13:00:00+00:00,FT,Aston Villa,Everton,4,0
1035055,2023-08-20T15:30:00+00:00,FT,West Ham,Chelsea,3,1
1035048,2023-08-21T19:00:00+00:00,FT,Crystal Palace,Arsenal,0,1
1035062,2023-08-25T19:00:00+00:00,FT,Chelsea,Luton,3,0
1035057,2023-08-26T11:30:00+00:00,FT,Bournemouth,Tottenham,0,2
1035064,2023-08-26T14:00:00+00:00,FT,Manchester United,Nottingham Forest,3,2
1035058,2023-08-26T14:00:00+00:00,FT,Arsenal,Fulham,2,2
1035063,2023-08-26T14:00:00+00:00,FT,Everton,Wolves,0,1
1035059,2023-08-26T14:00:00+00:00,FT,Brentford,Crystal Palace,1,1
1035060,2023-08-26T16:30:00+00:00,FT,Brighton,West Ham,1,3
1035061,2023-08-27T13:00:00+00:00,FT,Burnley,Aston Villa,1,3
1035066,2023-08-27T13:00:00+00:00,FT,Sheffield Utd,Manchester City,1,2
1035065,2023-08-27T15:30:00+00:00,FT,Newcastle,Liverpool,1,2
1035074,2023-09-01T19:00:00+00:00,FT,Luton,West Ham,1,2
1035076,2023-09-02T11:30:00+00:00,FT,Sheffield Utd,Everton,2,2
1035070,2023-09-02T14:00:00+00:00,FT,Burnley,Tottenham,2,5
1035071,2023-09-02T14:00:00+00:00,FT,Chelsea,Nottingham Forest,0,1
1035075,2023-09-02T14:00:00+00:00,FT,Manchester City,Fulham,5,1
1035068,2023-09-02T14:00:00+00:00,FT,Brentford,Bournemouth,2,2
1035069,2023-09-02T16:30:00+00:00,FT,Brighton,Newcastle,3,1
1035073,2023-09-03T13:00:00+00:00,FT,Liverpool,Aston Villa,3,0
1035072,2023-09-03T13:00:00+00:00,FT,Crystal Palace,Wolves,3,2
1035067,2023-09-03T15:30:00+00:00,FT,Arsenal,Manchester United,3,1
1035086,2023-09-16T11:30:00+00:00,FT,Wolves,Liverpool,1,3
1035081,2023-09-16T14:00:00+00:00,FT,Manchester United,Brighton,1,3
1035080,2023-09-16T14:00:00+00:00,FT,Fulham,Luton,1,0
1035084,2023-09-16T14:00:00+00:00,FT,Tottenham,Sheffield Utd,2,1
1035085,2023-09-16T14:00:00+00:00,FT,West Ham,Manchester City,1,3
1035078,2023-09-16T14:00:00+00:00,FT,Aston Villa,Crystal Palace,3,1
1035082,2023-09-16T16:30:00+00:00,FT,Newcastle,Brentford,1,0
1035077,2023-09-17T13:00:00+00:00,FT,Bournemouth,Chelsea,0,0
1035079,2023-09-17T15:30:00+00:00,FT,Everton,Arsenal,0,1
1035083,2023-09-18T18:45:00+00:00,FT,Nottingham Forest,Burnley,1,1
1035095,2023-09-23T14:00:00+00:00,FT,Manchester City,Nottingham Forest,2,0
1035092,2023-09-23T14:00:00+00:00,FT,Crystal Palace,Fulham,0,0
1035094,2023-09-23T14:00:00+00:00,FT,Luton,Wolves,1,1
1035088,2023-09-23T16:30:00+00:00,FT,Brentford,Everton,1,3
1035090,2023-09-23T19:00:00+00:00,FT,Burnley,Manchester United,0,1
1035093,2023-09-24T13:00:00+00:00,FT,Liverpool,West Ham,3,1
1035087,2023-09-24T13:00:00+00:00,FT,Arsenal,Tottenham,2,2
1035091,2023-09-24T13:00:00+00:00,FT,Chelsea,Aston Villa,0,1
1035089,2023-09-24T13:00:00+00:00,FT,Brighton,Bournemouth,3,1
1035096,2023-09-24T15:30:00+00:00,FT,Sheffield Utd,Newcastle,0,8
1035098,2023-09-30T11:30:00+00:00,FT,Aston Villa,Brighton,6,1
1035101,2023-09-30T14:00:00+00:00,FT,Manchester United,Crystal Palace,0,1
1035102,2023-09-30T14:00:00+00:00,FT,Newcastle,Burnley,2,0
1035097,2023-09-30T14:00:00+00:00,FT,Bournemouth,Arsenal,0,4
1035106,2023-09-30T14:00:00+00:00,FT,Wolves,Manchester City,2,1
1035099,2023-09-30T14:00:00+00:00,FT,Everton,Luton,1,2
1035105,2023-09-30T14:00:00+00:00,FT,West Ham,Sheffield Utd,2,0
1035104,2023-09-30T16:30:00+00:00,FT,Tottenham,Liverpool,2,1
1035103,2023-10-01T13:00:00+00:00,FT,Nottingham Forest,Brentford,1,1
1035100,2023-10-02T19:00:00+00:00,FT,Fulham,Chelsea,0,2
1035051,2023-10-03T18:30:00+00:00,FT,Luton,Burnley,1,2
1035113,2023-10-07T11:30:00+00:00,FT,Luton,Tottenham,0,1
1035114,2023-10-07T14:00:00+00:00,FT,Manchester United,Brentford,2,1
1035112,2023-10-07T14:00:00+00:00,FT,Fulham,Sheffield Utd,3,1
1035109,2023-10-07T14:00:00+00:00,FT,Burnley,Chelsea,1,4
1035111,2023-10-07T14:00:00+00:00,FT,Everton,Bournemouth,3,0
1035110,2023-10-07T16:30:00+00:00,FT,Crystal Palace,Nottingham Forest,0,0
1035116,2023-10-08T13:00:00+00:00,FT,Wolves,Aston Villa,1,1
1035115,2023-10-08T13:00:00+00:00,FT,West Ham,Newcastle,2,2
1035108,2023-10-08T13:00:00+00:00,FT,Brighton,Liverpool,2,2
1035107,2023-10-08T15:30:00+00:00,FT,Arsenal,Manchester City,1,0
1035121,2023-10-21T11:30:00+00:00,FT,Liverpool,Everton,2,0
1035123,2023-10-21T14:00:00+00:00,FT,Newcastle,Crystal Palace,4,0
1035117,2023-10-21T14:00:00+00:00,FT,Bournemouth,Wolves,1,2
1035122,2023-10-21T14:00:00+00:00,FT,Manchester City,Brighton,2,1
1035119,2023-10-21T14:00:00+00:00,FT,Brentford,Burnley,3,0
1035124,2023-10-21T14:00:00+00:00,FT,Nottingham Forest,Luton,2,2
1035120,2023-10-21T16:30:00+00:00,FT,Chelsea,Arsenal,2,2
