fixture_id,date,status,home_team,away_team,home_goals,away_goals
1052254,2023-08-19T16:30:00+00:00,FT,Empoli,Hellas Verona,0,1
1052255,2023-08-19T16:30:00+00:00,FT,Frosinone,Napoli,1,3
1052256,2023-08-19T18:45:00+00:00,FT,Genoa,Fiorentina,1,4
1052257,2023-08-19T18:45:00+00:00,FT,Inter,Monza,2,0
1052260,2023-08-20T16:30:00+00:00,FT,Sassuolo,Atalanta,0,2
1052259,2023-08-20T16:30:00+00:00,FT,AS Roma,Salernitana,2,2
1052262,2023-08-20T18:45:00+00:00,FT,Udinese,Juventus,0,3
1052258,2023-08-20T18:45:00+00:00,FT,Lecce,Lazio,2,1
1052261,2023-08-21T16:30:00+00:00,FT,Torino,Cagliari,0,0
1052253,2023-08-21T18:45:00+00:00,FT,Bologna,AC Milan,0,2
1052265,2023-08-26T16:30:00+00:00,FT,Frosinone,Atalanta,2,1
1052270,2023-08-26T16:30:00+00:00,FT,Monza,Empoli,2,0
1052269,2023-08-26T18:45:00+00:00,FT,AC Milan,Torino,4,1
1052266,2023-08-26T18:45:00+00:00,FT,Hellas Verona,AS Roma,2,1
1052267,2023-08-27T16:30:00+00:00,FT,Juventus,Bologna,1,1
1052264,2023-08-27T16:30:00+00:00,FT,Fiorentina,Lecce,2,2
1052268,2023-08-27T18:45:00+00:00,FT,Lazio,Genoa,0,1
1052271,2023-08-27T18:45:00+00:00,FT,Napoli,Sassuolo,2,0
1052272,2023-08-28T16:30:00+00:00,FT,Salernitana,Udinese,1,1
1052263,2023-08-28T18:45:00+00:00,FT,Cagliari,Inter,0,2
1052280,2023-09-01T16:30:00+00:00,FT,Sassuolo,Hellas Verona,3,1
1052279,2023-09-01T18:45:00+00:00,FT,AS Roma,AC Milan,1,2
1052282,2023-09-02T16:30:00+00:00,FT,Udinese,Frosinone,0,0
1052274,2023-09-02T16:30:00+00:00,FT,Bologna,Cagliari,2,1
1052278,2023-09-02T18:45:00+00:00,FT,Napoli,Lazio,1,2
1052273,2023-09-02T18:45:00+00:00,FT,Atalanta,Monza,3,0
1052281,2023-09-03T16:30:00+00:00,FT,Torino,Genoa,1,0
1052276,2023-09-03T16:30:00+00:00,FT,Inter,Fiorentina,4,0
1052275,2023-09-03T18:45:00+00:00,FT,Empoli,Juventus,0,2
1052277,2023-09-03T18:45:00+00:00,FT,Lecce,Salernitana,2,0
1052289,2023-09-16T13:00:00+00:00,FT,Juventus,Lazio,3,1
1052288,2023-09-16T16:00:00+00:00,FT,Inter,AC Milan,5,1
1052286,2023-09-16T18:45:00+00:00,FT,Genoa,Napoli,2,2
1052283,2023-09-17T10:30:00+00:00,FT,Cagliari,Udinese,0,0
1052285,2023-09-17T13:00:00+00:00,FT,Frosinone,Sassuolo,4,2
1052290,2023-09-17T13:00:00+00:00,FT,Monza,Lecce,1,1
1052284,2023-09-17T16:00:00+00:00,FT,Fiorentina,Atalanta,3,2
