fixture_id,date,status,home_team,away_team,home_goals,away_goals
1006447,2023-04-14T22:00:00+00:00,FT,Guarani Campinas,Avai,4,1
1006450,2023-04-15T00:30:00+00:00,FT,Ituano,Ceara,2,0
1006448,2023-04-15T19:00:00+00:00,FT,Vila Nova,Novorizontino,2,1
1006453,2023-04-15T20:00:00+00:00,FT,Sampaio Correa,Atletico Goianiense,3,3
1006451,2023-04-15T20:00:00+00:00,FT,Mirassol,Chapecoense-sc,1,0
1006454,2023-04-15T21:15:00+00:00,FT,Juventude,Botafogo SP,1,2
1006449,2023-04-16T14:00:00+00:00,FT,Criciuma,Tombense,2,0
1006455,2023-04-16T18:30:00+00:00,FT,Londrina,ABC,1,0
1006452,2023-04-16T21:00:00+00:00,FT,Vitoria,Ponte Preta,3,0
1006458,2023-04-21T19:30:00+00:00,FT,Atletico Goianiense,CRB,2,1
1006460,2023-04-21T22:00:00+00:00,FT,Botafogo SP,Sampaio Correa,1,0
1006457,2023-04-22T00:30:00+00:00,FT,Ponte Preta,Criciuma,1,2
1006465,2023-04-22T14:00:00+00:00,FT,Tombense,Ituano,3,0
1006459,2023-04-22T19:00:00+00:00,FT,Avai,Mirassol,1,0
1006461,2023-04-22T20:00:00+00:00,FT,Novorizontino,Juventude,1,0
1006463,2023-04-22T21:15:00+00:00,FT,Ceara,Guarani Campinas,0,3
1006464,2023-04-23T18:30:00+00:00,FT,Chapecoense-sc,Londrina,3,0
1006466,2023-04-23T21:00:00+00:00,FT,ABC,Vitoria,0,3
1006472,2023-04-28T22:00:00+00:00,FT,Vitoria,Londrina,2,0
1006469,2023-04-28T22:00:00+00:00,FT,Criciuma,Avai,1,0
1006467,2023-04-29T00:30:00+00:00,FT,Guarani Campinas,Ituano,1,0
1006473,2023-04-29T19:00:00+00:00,FT,Sampaio Correa,Mirassol,1,3
1006474,2023-04-29T20:00:00+00:00,FT,Chapecoense-sc,Ponte Preta,1,1
1006470,2023-04-29T20:00:00+00:00,FT,Botafogo SP,CRB,2,0
1006475,2023-04-29T21:15:00+00:00,FT,Tombense,Atletico Goianiense,1,1
1006471,2023-04-30T18:30:00+00:00,FT,Novorizontino,Sport Recife,0,0
1006476,2023-04-30T21:00:00+00:00,FT,ABC,Ceara,1,2
1006468,2023-04-30T21:15:00+00:00,FT,Vila Nova,Juventude,1,0
1006485,2023-05-01T19:00:00+00:00,FT,Londrina,Criciuma,1,1
1006477,2023-05-02T22:00:00+00:00,FT,Ponte Preta,Botafogo SP,2,0
1006486,2023-05-02T22:00:00+00:00,FT,CRB,Sampaio Correa,0,0
1006478,2023-05-03T00:30:00+00:00,FT,Atletico Goianiense,Chapecoense-sc,2,1
1006484,2023-05-03T22:00:00+00:00,FT,Juventude,Guarani Campinas,1,0
1006480,2023-05-03T22:00:00+00:00,FT,Ituano,ABC,3,0
1006481,2023-05-03T22:00:00+00:00,FT,Mirassol,Novorizontino,0,2
1006479,2023-05-04T00:15:00+00:00,FT,Avai,Vila Nova,0,3
1006490,2023-05-06T00:30:00+00:00,FT,Botafogo SP,Vitoria,0,3
1006489,2023-05-06T19:00:00+00:00,FT,Criciuma,Ituano,2,1
1006493,2023-05-06T21:15:00+00:00,FT,Sampaio Correa,Juventude,2,1
1006495,2023-05-06T21:15:00+00:00,FT,Tombense,Avai,0,1
1006491,2023-05-06T21:15:00+00:00,FT,Mirassol,Vila Nova,1,1
1006494,2023-05-06T23:30:00+00:00,FT,Chapecoense-sc,Novorizontino,1,1
1006496,2023-05-06T23:30:00+00:00,FT,CRB,ABC,1,1
1006487,2023-05-07T14:00:00+00:00,FT,Ponte Preta,Ceara,0,0
