fixture_id,date,status,home_team,away_team,home_goals,away_goals,home_attack_form,home_defense_form,away_attack_form,away_defense_form
1005651,2023-04-15T19:00:00+00:00,FT,Palmeiras,Cuiaba,2,1,1.2447368421052631,1.2447368421052631,1.2447368421052631,1.2447368421052631
1005658,2023-04-15T19:00:00+00:00,FT,America Mineiro,Fluminense,0,3,1.2447368421052631,1.2447368421052631,1.2447368421052631,1.2447368421052631
1005650,2023-04-15T21:30:00+00:00,FT,Botafogo,Sao Paulo,2,1,1.2447368421052631,1.2447368421052631,1.2447368421052631,1.2447368421052631
1005656,2023-04-15T21:30:00+00:00,FT,Atletico Paranaense,Goias,2,0,1.2447368421052631,1.2447368421052631,1.2447368421052631,1.2447368421052631
1005657,2023-04-15T21:30:00+00:00,FT,Fortaleza EC,Internacional,1,1,1.2447368421052631,1.2447368421052631,1.2447368421052631,1.2447368421052631
1005653,2023-04-15T21:30:00+00:00,FT,RB Bragantino,Bahia,2,1,1.2447368421052631,1.2447368421052631,1.2447368421052631,1.2447368421052631
1005654,2023-04-16T00:00:00+00:00,FT,Atletico-MG,Vasco DA Gama,1,2,1.2447368421052631,1.2447368421052631,1.2447368421052631,1.2447368421052631
1005649,2023-04-16T19:00:00+00:00,FT,Flamengo,Coritiba,3,0,1.2447368421052631,1.2447368421052631,1.2447368421052631,1.2447368421052631
1005652,2023-04-16T19:00:00+00:00,FT,Corinthians,Cruzeiro,2,1,1.2447368421052631,1.2447368421052631,1.2447368421052631,1.2447368421052631
1005655,2023-04-16T21:30:00+00:00,FT,Gremio,Santos,1,0,1.2447368421052631,1.2447368421052631,1.2447368421052631,1.2447368421052631
1005659,2023-04-22T19:00:00+00:00,FT,Fluminense,Atletico Paranaense,2,0,3.0,0.0,2.0,0.0
1005668,2023-04-22T21:30:00+00:00,FT,Cuiaba,RB Bragantino,1,1,1.0,2.0,2.0,1.0
1005661,2023-04-22T21:30:00+00:00,FT,Sao Paulo,America Mineiro,3,0,1.0,2.0,0.0,3.0
1005664,2023-04-23T00:00:00+00:00,FT,Cruzeiro,Gremio,1,0,1.0,2.0,1.0,0.0
1005665,2023-04-23T14:00:00+00:00,FT,Internacional,Flamengo,2,1,1.0,1.0,3.0,0.0
1005662,2023-04-23T19:00:00+00:00,FT,Santos,Atletico-MG,0,0,0.0,1.0,1.0,2.0
1005660,2023-04-23T19:00:00+00:00,FT,Vasco DA Gama,Palmeiras,2,2,2.0,1.0,2.0,1.0
1005666,2023-04-23T21:30:00+00:00,FT,Coritiba,Fortaleza EC,0,3,0.0,3.0,1.0,1.0
1005663,2023-04-23T22:00:00+00:00,FT,Goias,Corinthians,3,1,0.0,2.0,2.0,1.0
1005667,2023-04-24T23:00:00+00:00,FT,Bahia,Botafogo,1,2,1.0,2.0,2.0,1.0
1005676,2023-04-29T19:30:00+00:00,FT,Coritiba,Sao Paulo,1,1,0.0,3.0,2.2,0.8
1005677,2023-04-29T19:30:00+00:00,FT,Fortaleza EC,Fluminense,4,2,2.2,0.4,2.4,0.0
1005673,2023-04-29T21:30:00+00:00,FT,RB Bragantino,Cruzeiro,0,3,1.4000000000000001,1.0,1.0,0.8
1005671,2023-04-29T21:30:00+00:00,FT,Palmeiras,Corinthians,2,1,2.0,1.6,1.4000000000000001,2.2
1005672,2023-04-29T21:30:00+00:00,FT,Santos,America Mineiro,3,2,0.0,0.4,0.0,3.0
1005674,2023-04-30T00:00:00+00:00,FT,Atletico-MG,Atletico Paranaense,2,1,0.4,0.8,0.8,1.2
1005669,2023-04-30T19:00:00+00:00,FT,Flamengo,Botafogo,2,3,1.7999999999999998,1.2,2.0,1.0
1005675,2023-04-30T21:30:00+00:00,FT,Internacional,Goias,1,0,1.6,1.0,1.7999999999999998,1.4000000000000001
1005678,2023-04-30T21:30:00+00:00,FT,Cuiaba,Gremio,1,2,1.0,1.4000000000000001,0.4,0.6
1005670,2023-05-01T23:00:00+00:00,FT,Vasco DA Gama,Bahia,0,1,2.0,1.6,1.0,2.0
1005684,2023-05-06T19:00:00+00:00,FT,Cruzeiro,Santos,2,1,1.9473684210526314,0.4210526315789474,1.4210526315789471,1.157894736842105
1005679,2023-05-07T00:00:00+00:00,FT,Fluminense,Vasco DA Gama,1,1,2.210526315789474,1.8947368421052626,1.0526315789473684,1.3157894736842106
1005688,2023-05-07T14:00:00+00:00,FT,America Mineiro,Cuiaba,1,2,0.9473684210526313,3.0,1.0,1.6842105263157894
1005681,2023-05-07T19:00:00+00:00,FT,Sao Paulo,Internacional,2,0,1.631578947368421,0.8947368421052632,1.3157894736842106,0.5263157894736842
1005686,2023-05-07T19:00:00+00:00,FT,Atletico Paranaense,Flamengo,2,1,0.8947368421052632,1.5789473684210524,1.8947368421052626,2.052631578947368
1005687,2023-05-07T19:00:00+00:00,FT,Bahia,Coritiba,3,1,1.0,1.0526315789473684,0.47368421052631565,2.052631578947368
1005680,2023-05-07T21:30:00+00:00,FT,Botafogo,Atletico-MG,2,0,2.4736842105263155,1.4736842105263157,1.157894736842105,0.8947368421052632
1005685,2023-05-07T21:30:00+00:00,FT,Gremio,RB Bragantino,3,3,1.157894736842105,0.7894736842105262,0.736842105263158,1.9473684210526314
1005683,2023-05-07T21:30:00+00:00,FT,Goias,Palmeiras,0,5,0.9473684210526315,1.2105263157894737,2.0,1.3157894736842106
1005682,2023-05-08T23:00:00+00:00,FT,Corinthians,Fortaleza EC,1,1,1.2105263157894737,2.1052631578947363,3.0526315789473677,1.157894736842105
1005695,2023-05-10T22:00:00+00:00,FT,Internacional,Atletico Paranaense,0,2,0.7692307692307694,1.1384615384615384,1.3538461538461537,1.3384615384615384
1005692,2023-05-10T22:00:00+00:00,FT,Santos,Bahia,3,0,1.2461538461538462,1.5076923076923074,1.8307692307692307,1.0307692307692307
1005693,2023-05-10T22:00:00+00:00,FT,RB Bragantino,America Mineiro,2,2,1.6769230769230767,2.3846153846153846,0.9692307692307691,2.5846153846153843
1005698,2023-05-10T23:00:00+00:00,FT,Cuiaba,Atletico-MG,0,4,1.4153846153846152,1.4000000000000001,0.676923076923077,1.3538461538461537
1005689,2023-05-10T23:00:00+00:00,FT,Flamengo,Goias,2,0,1.523076923076923,2.0307692307692307,0.5538461538461539,2.784615384615384
1005694,2023-05-11T00:30:00+00:00,FT,Cruzeiro,Fluminense,0,2,1.9692307692307691,0.6615384615384616,1.7076923076923078,1.523076923076923
1005691,2023-05-11T00:30:00+00:00,FT,Palmeiras,Gremio,4,1,3.2461538461538457,0.7692307692307694,1.9230769230769227,1.7076923076923076
1005696,2023-05-11T22:00:00+00:00,FT,Coritiba,Vasco DA Gama,1,1,0.6923076923076922,2.446153846153846,1.0307692307692307,1.1846153846153846
1005690,2023-05-11T22:30:00+00:00,FT,Botafogo,Corinthians,3,0,2.276923076923077,0.8615384615384617,1.123076923076923,1.6461538461538459
1005697,2023-05-11T23:00:00+00:00,FT,Fortaleza EC,Sao Paulo,0,0,2.1999999999999997,1.0923076923076922,1.7846153846153847,0.5230769230769232
1005707,2023-05-13T19:00:00+00:00,FT,Bahia,Flamengo,2,3,1.127962085308057,1.786729857819905,1.7061611374407581,1.2511848341232228
1005701,2023-05-13T21:30:00+00:00,FT,Palmeiras,RB Bragantino,1,1,3.535545023696682,0.8578199052132702,1.8009478672985781,2.2369668246445498
